Hop 1:	192.168.1.1
Hop 2:	c-24-8-208-1.hsd1.co.comcast.net (24.8.208.1)
Hop 3:	te-5-1-ur01.wheatridge.co.denver.comcast.net (68.85.221.205)
Hop 4:	te-7-2-ur02.wheatridge.co.denver.comcast.net (68.86.179.94)
Hop 5:	te-0-10-0-7-ar02.aurora.co.denver.comcast.net (68.86.128.125)
Hop 6:	he-3-9-0-0-cr01.denver.co.ibone.comcast.net (68.86.92.21)
Hop 7:	te3-5.ccr01.den03.atlas.cogentco.com (154.54.10.33)
Hop 8:	te7-1.ccr02.den01.atlas.cogentco.com (154.54.45.185)
Hop 9:	te0-2-0-7.mpd22.mci01.atlas.cogentco.com (154.54.82.210)
Hop 10:	te0-3-0-7.mpd22.ord01.atlas.cogentco.com (154.54.84.86)
Hop 11:	te0-3-0-6.mpd22.yyz02.atlas.cogentco.com (154.54.28.10)
Hop 12:	te0-2-0-5.ccr21.ymq02.atlas.cogentco.com (154.54.42.234)
Hop 13:	te0-4-0-6.ccr21.lpl01.atlas.cogentco.com (154.54.44.202)
Hop 14:	te0-3-0-3.ccr21.ams03.atlas.cogentco.com (154.54.58.65)
Hop 15:	te0-0-0-0.ccr21.ham01.atlas.cogentco.com (130.117.50.42)
Hop 16:	te4-2.ccr01.waw01.atlas.cogentco.com (154.54.56.170)
Hop 17:	te1-2.ccr01.vno01.atlas.cogentco.com (154.54.62.182)
Hop 18:	149.14.10.86
Hop 19:	te1-3.27.tv.riga.globalcom.lv (85.254.1.155)
Hop 20:	85.254.1.53
Hop 21:	hs-gw-07.deac.net (81.94.230.178)
Destination "hash.phelix.lv" reached: phelix.vps.lv (178.16.25.125)
