Hop 1:	192.168.1.1
Hop 2:	c-24-8-208-1.hsd1.co.comcast.net (24.8.208.1)
Hop 3:	te-5-1-ur01.wheatridge.co.denver.comcast.net (68.85.221.205)
Hop 4:	te-0-10-0-11-ar02.denver.co.denver.comcast.net (68.86.103.17)
Hop 5:	te-0-10-0-3-ar02.aurora.co.denver.comcast.net (68.86.103.93)
Hop 6:	he-3-4-0-0-cr01.denver.co.ibone.comcast.net (68.86.90.149)
Hop 7:	pos-0-13-0-0-cr01.seattle.wa.ibone.comcast.net (68.86.86.214)
Hop 8:	be-12-pe02.1950stemmons.tx.ibone.comcast.net (68.86.82.138)
Hop 9:	75.149.230.209
Hop 10:	po126.msw01.02.dfw1.tfbnw.net (31.13.24.131)
Destination "www.facebook.com" reached: star-01-02-dfw1.facebook.com (31.13.66.23)
