Hop 1:	192.168.1.1
Hop 2:	c-24-8-208-1.hsd1.co.comcast.net (24.8.208.1)
Hop 3:	te-5-1-ur01.wheatridge.co.denver.comcast.net (68.85.221.205)
Hop 4:	te-0-10-0-11-ar02.denver.co.denver.comcast.net (68.86.103.17)
Hop 5:	pos-0-7-0-0-ar02.aurora.co.denver.comcast.net (68.86.128.246)
Hop 6:	he-3-9-0-0-cr01.denver.co.ibone.comcast.net (68.86.92.21)
Hop 7:	pos-2-7-0-0-cr01.dallas.tx.ibone.comcast.net (68.86.85.54)
Hop 8:	pos-0-9-0-0-pe01.1950stemmons.tx.ibone.comcast.net (68.86.88.198)
Hop 9:	173.167.57.114
Hop 10:	xe-7-1-2.was10.ip4.tinet.net (89.149.182.218)
Hop 11:	Host not responding to ping
Destination "en.wikipedia.org" reached: wikipedia-lb.eqiad.wikimedia.org (208.80.154.225)
